Time,Arduino_hall_probe/TEMP:TEMP,time,mag
1746224546,21.89,1746224546,13.3602
1746224548,21.97,1746224548,13.4785
1746224550,22,1746224550,13.3931
1746224552,22.04,1746224552,13.4589
1746224554,21.87,1746224554,13.5387
1746224556,22.04,1746224556,13.1845
1746224558,21.91,1746224558,13.1509
1746224560,22.04,1746224560,13.4652
1746224562,21.84,1746224562,13.1663
1746224564,21.92,1746224564,13.258
1746224566,21.97,1746224566,20.6962
1746224568,21.87,1746224568,20.7018
1746224570,22.02,1746224570,24.5616
1746224572,21.89,1746224572,23.0629
1746224574,22.05,1746224574,23.1175
1746224576,21.97,1746224576,23.1343
1746224578,21.82,1746224578,23.3296
1746224580,21.99,1746224580,24.3873
1746224582,21.94,1746224582,23.5648
1746224584,22.1,1746224584,23.1658
1746224586,21.94,1746224586,23.646
1746224588,21.87,1746224588,23.7874
1746224589,22,1746224589,23.7475
1746224591,21.91,1746224591,23.6593
1746224593,21.89,1746224593,23.4234
1746224595,21.87,1746224595,23.45
1746224597,22.09,1746224597,23.6096
1746224599,22.07,1746224599,23.5025
1746224601,21.96,1746224601,23.8567
1746224603,22,1746224603,23.8399
1746224605,21.97,1746224605,23.3352
1746224607,22.02,1746224607,23.4108
1746224609,21.87,1746224609,23.7118
1746224611,21.91,1746224611,23.6845
1746224613,22.05,1746224613,23.7356
1746224615,21.67,1746224615,24.0429
1746224617,21.82,1746224617,32.5241
1746224619,21.72,1746224619,42.4431
1746224621,21.89,1746224621,43.6219
1746224623,21.94,1746224623,43.5106
1746224625,21.84,1746224625,45.1899
1746224627,21.99,1746224627,45.0688
1746224629,21.82,1746224629,43.6807
1746224631,22.02,1746224631,43.8669
1746224633,21.94,1746224633,43.7521
1746224635,22.14,1746224635,45.052
1746224637,21.91,1746224637,45.0702
1746224639,21.94,1746224639,44.6936
1746224641,21.77,1746224641,44.8245
1746224643,21.77,1746224643,44.8035
1746224645,21.92,1746224645,44.7482
1746224647,21.92,1746224647,45.1283
1746224649,21.87,1746224649,43.5197
1746224651,21.84,1746224651,43.3538
1746224653,21.92,1746224653,44.6866
1746224655,21.77,1746224655,43.3384
1746224657,21.91,1746224657,44.744
1746224659,22,1746224659,43.3132
1746224661,21.94,1746224661,44.9358
1746224663,21.84,1746224663,43.5043
1746224665,21.79,1746224665,44.7223
1746224667,21.79,1746224667,44.8672
1746224669,21.91,1746224669,44.7363
1746224671,21.74,1746224671,44.6376
1746224673,21.62,1746224673,44.5837
1746224675,21.97,1746224675,41.9797
1746224677,21.86,1746224677,76.5429
1746224679,22,1746224679,79.7734
1746224681,21.81,1746224681,80.1864
1746224683,21.84,1746224683,81.4548
1746224685,21.82,1746224685,81.5577
1746224687,21.57,1746224687,81.5836
1746224689,21.67,1746224689,80.0163
1746224691,21.84,1746224691,79.7629
1746224693,21.82,1746224693,80.332
1746224695,22.02,1746224695,80.087
1746224697,21.89,1746224697,79.856
1746224699,21.79,1746224699,79.9568
1746224701,21.99,1746224701,78.8039
1746224703,21.97,1746224703,79.5459
1746224705,22.05,1746224705,79.5487
1746224707,21.82,1746224707,78.9852
1746224709,21.81,1746224709,77.6734
1746224711,21.89,1746224711,78.3195
1746224713,21.81,1746224713,80.5861
1746224715,21.92,1746224715,79.5074
1746224717,21.82,1746224717,79.2057
1746224719,21.84,1746224719,79.9939
1746224721,21.79,1746224721,79.5361
1746224723,21.89,1746224723,79.8595
1746224725,21.86,1746224725,79.3562
1746224727,21.91,1746224727,80.1493
1746224729,21.86,1746224729,132.7459
1746224731,21.82,1746224731,123.2378
1746224733,21.86,1746224733,122.9704
1746224735,21.77,1746224735,123.3407
1746224737,21.77,1746224737,121.4094
1746224739,21.76,1746224739,121.5088
1746224741,21.91,1746224741,121.3765
1746224743,21.59,1746224743,123.3295
1746224745,21.77,1746224745,122.3684
1746224747,21.79,1746224747,121.947
1746224749,21.91,1746224749,121.268
1746224751,21.84,1746224751,126.5257
1746224753,21.71,1746224753,124.1268
1746224755,21.74,1746224755,124.8492
1746224757,21.64,1746224757,126.77
1746224759,21.61,1746224759,123.9882
1746224761,21.81,1746224761,125.2734
1746224763,21.72,1746224763,124.9185
1746224765,21.69,1746224765,125.1775
1746224767,21.74,1746224767,123.3225
1746224769,21.77,1746224769,123.3183
1746224771,21.79,1746224771,122.4139
1746224773,21.61,1746224773,123.2357
1746224775,21.87,1746224775,121.5501
1746224777,21.79,1746224777,121.7013
1746224779,21.82,1746224779,130.1524
1746224781,21.67,1746224781,125.9048
1746224783,21.84,1746224783,110.7407
1746224785,21.54,1746224785,111.8131
1746224787,21.32,1746224787,111.797
1746224789,21.61,1746224789,111.8726
1746224791,21.74,1746224791,110.6259
1746224793,21.79,1746224793,112.0301
1746224795,21.81,1746224795,110.6483
1746224797,21.76,1746224797,110.2892
1746224799,21.76,1746224799,110.3921
1746224801,21.87,1746224801,110.4817
1746224803,21.77,1746224803,111.8607
1746224805,21.96,1746224805,110.9115
1746224807,21.82,1746224807,112.3437
1746224809,21.97,1746224809,110.7638
1746224811,21.86,1746224811,110.4327
1746224813,21.72,1746224813,110.6763
1746224815,21.91,1746224815,112.4676
1746224817,21.81,1746224817,112.7266
1746224819,21.92,1746224819,110.8415
1746224821,22,1746224821,110.9115
1746224823,21.67,1746224823,112.861
1746224825,21.77,1746224825,110.9003
1746224827,21.72,1746224827,110.894
1746224829,21.81,1746224829,111.0795
1746224830,21.82,1746224830,110.8135
1746224832,21.86,1746224832,128.8133
1746224834,21.82,1746224834,128.1308
1746224836,21.77,1746224836,128.3968
1746224838,21.64,1746224838,128.4108
1746224840,21.79,1746224840,128.5606
1746224842,21.74,1746224842,130.1475
1746224844,21.82,1746224844,130.2203
1746224846,21.91,1746224846,130.1993
1746224848,21.87,1746224848,130.3148
1746224850,21.86,1746224850,120.4679
1746224852,21.76,1746224852,67.5122
1746224854,21.81,1746224854,67.6424
1746224856,22.1,1746224856,65.38
1746224858,21.96,1746224858,67.1111
1746224860,22.09,1746224860,65.5095
1746224862,21.86,1746224862,65.0741
1746224864,21.89,1746224864,65.0559
1746224866,21.81,1746224866,65.0377
1746224868,21.71,1746224868,65.4682
1746224870,21.76,1746224870,65.2386
1746224872,21.76,1746224872,67.2413
1746224874,21.82,1746224874,67.1566
1746224876,21.86,1746224876,67.2266
1746224878,21.72,1746224878,67.3029
1746224880,21.67,1746224880,67.5556
1746224882,21.86,1746224882,67.4114
1746224884,21.72,1746224884,67.641
1746224886,21.81,1746224886,67.4821
1746224888,21.67,1746224888,68.0687
1746224890,21.81,1746224890,67.9245
1746224892,21.92,1746224892,68.8058
1746224894,21.71,1746224894,68.8394
1746224896,21.57,1746224896,69.0179
1746224898,21.79,1746224898,68.7218
1746224900,21.89,1746224900,67.4667
1746224902,21.86,1746224902,33.8912
1746224904,21.76,1746224904,31.8059
1746224906,21.71,1746224906,32.0138
1746224908,21.87,1746224908,33.0281
1746224910,21.74,1746224910,31.9109
1746224912,21.71,1746224912,31.9487
1746224914,21.74,1746224914,31.6946
1746224916,21.76,1746224916,31.8024
1746224918,21.92,1746224918,33.6224
1746224920,21.86,1746224920,33.5062
1746224922,22,1746224922,31.9921
1746224924,21.79,1746224924,33.6483
1746224926,21.96,1746224926,32.1601
1746224928,21.74,1746224928,31.8367
1746224930,21.72,1746224930,31.8297
1746224932,21.82,1746224932,31.5406
1746224934,21.74,1746224934,31.7107
1746224936,21.87,1746224936,31.6589
1746224938,21.84,1746224938,31.8171
1746224940,21.57,1746224940,33.0799
1746224942,21.71,1746224942,31.6785
1746224944,21.76,1746224944,31.6834
1746224946,21.79,1746224946,32.6123
1746224948,21.81,1746224948,33.376
1746224950,21.82,1746224950,30.9316
1746224952,21.82,1746224952,17.3243
1746224954,21.94,1746224954,16.3191
1746224956,21.82,1746224956,15.7724
1746224958,21.81,1746224958,15.8851
1746224960,21.71,1746224960,15.9516
1746224962,21.79,1746224962,15.8956
1746224964,21.76,1746224964,15.9572
1746224966,21.74,1746224966,16.0125
1746224968,21.81,1746224968,15.9285
1746224970,21.67,1746224970,15.9586
1746224972,21.69,1746224972,16.0286
1746224974,21.72,1746224974,15.8277
1746224976,21.77,1746224976,15.7087
1746224978,21.76,1746224978,15.9285
1746224980,21.69,1746224980,16.0804
1746224982,21.92,1746224982,16.0475
1746224984,21.72,1746224984,17.5945
1746224986,21.81,1746224986,16.0776
1746224988,21.87,1746224988,16.1588
1746224990,21.72,1746224990,16.1966
1746224992,21.81,1746224992,16.0664
1746224994,21.72,1746224994,17.6841
1746224996,21.67,1746224996,16.1056
1746224998,21.67,1746224998,15.8949
1746225000,21.76,1746225000,15.9663
1746225002,21.72,1746225002,16.0209
1746225004,21.74,1746225004,8.8592
1746225006,21.67,1746225006,10.444
1746225008,21.84,1746225008,11.0593
1746225010,21.69,1746225010,10.9998
1746225012,21.66,1746225012,10.9144
1746225014,21.79,1746225014,10.9088
1746225016,21.69,1746225016,10.955
1746225018,21.57,1746225018,10.892
1746225020,21.67,1746225020,10.7856
1746225022,21.47,1746225022,10.7107
1746225024,21.61,1746225024,10.8087
1746225026,21.54,1746225026,10.8129
1746225028,21.49,1746225028,10.8297
1746225030,21.61,1746225030,10.8444
1746225032,21.52,1746225032,10.8682
1746225034,21.49,1746225034,10.9438
1746225036,21.51,1746225036,10.9466
1746225038,21.59,1746225038,10.7933
1746225040,21.67,1746225040,10.8206
1746225042,21.46,1746225042,10.8199
1746225044,21.47,1746225044,10.8255
1746225046,21.76,1746225046,10.8192
1746225048,21.61,1746225048,10.8724
1746225050,21.67,1746225050,10.5658
1746225052,21.71,1746225052,7.1043
1746225054,21.72,1746225054,6.8404
1746225056,21.72,1746225056,6.615
1746225058,21.69,1746225058,6.5884
1746225059,21.69,1746225059,8.008
1746225061,21.61,1746225061,6.7662
1746225063,21.67,1746225063,6.7991
1746225065,21.81,1746225065,6.8033
1746225067,21.76,1746225067,6.839
1746225069,21.82,1746225069,6.8271
1746225071,21.54,1746225071,6.8733
1746225073,21.66,1746225073,6.8894
1746225075,21.67,1746225075,6.8705
1746225077,21.69,1746225077,6.9083
1746225079,21.74,1746225079,6.9041
1746225081,21.57,1746225081,6.9104
1746225083,21.76,1746225083,6.9132
1746225085,21.69,1746225085,7.0637
1746225087,21.64,1746225087,7.0301
1746225089,21.59,1746225089,7.0749
1746225091,21.76,1746225091,8.4119
1746225093,21.76,1746225093,6.8901
1746225095,21.81,1746225095,8.2628
1746225097,21.51,1746225097,8.2383
1746225099,21.79,1746225099,6.8068
1746225101,21.62,1746225101,5.2724
1746225102,21.72,1746225102,4.3792
1746225104,21.76,1746225104,6.1229
1746225106,21.72,1746225106,4.5542
1746225108,21.54,1746225108,4.4681
1746225110,21.64,1746225110,4.4436
1746225112,21.44,1746225112,4.4275
1746225114,21.64,1746225114,4.5129
1746225116,21.69,1746225116,4.5115
1746225118,21.41,1746225118,4.5248
1746225120,21.54,1746225120,4.7887
1746225122,21.71,1746225122,4.5738
1746225124,21.81,1746225124,4.7971
1746225126,21.74,1746225126,4.5892
1746225128,21.69,1746225128,4.6179
1746225130,21.72,1746225130,4.6305
1746225132,21.74,1746225132,4.6459
1746225134,21.61,1746225134,4.6564
1746225136,21.66,1746225136,4.6263
1746225138,21.61,1746225138,4.6501
1746225140,21.87,1746225140,4.6403
1746225142,21.61,1746225142,4.6529
1746225144,21.69,1746225144,4.6627
1746225146,21.71,1746225146,4.6977
1746225148,21.74,1746225148,6.6353
1746225150,21.69,1746225150,6.6311
1746225152,21.91,1746225152,6.6689
1746225154,21.76,1746225154,6.6556
1746225156,21.81,1746225156,6.6507
1746225158,21.94,1746225158,6.6605
1746225160,21.81,1746225160,6.6745
1746225162,21.77,1746225162,6.6927
1746225164,22.02,1746225164,6.6857
1746225166,21.64,1746225166,5.3263
1746225168,21.46,1746225168,3.3775
1746225170,21.56,1746225170,2.9547
1746225172,21.46,1746225172,2.9561
1746225174,21.52,1746225174,2.9197
1746225176,21.57,1746225176,2.8497
1746225178,21.39,1746225178,2.8217
1746225180,21.44,1746225180,3.1843
1746225182,21.52,1746225182,3.2207
1746225184,21.54,1746225184,3.2319
1746225186,21.44,1746225186,3.248
1746225188,21.32,1746225188,3.227
1746225190,21.44,1746225190,3.2116
1746225192,21.26,1746225192,3.2501
1746225194,21.36,1746225194,3.2879
1746225196,21.37,1746225196,2.9652
1746225198,21.49,1746225198,3.3033
1746225200,21.39,1746225200,3.3145
1746225202,21.24,1746225202,3.3152
1746225204,21.44,1746225204,3.3397
1746225206,21.59,1746225206,3.3446
1746225208,21.34,1746225208,3.3397
1746225210,21.49,1746225210,3.3397
1746225212,21.44,1746225212,5.061
1746225214,21.36,1746225214,16.3779
1746225216,21.69,1746225216,32.5129
1746225218,21.69,1746225218,9.9764
1746225220,21.89,1746225220,2.2106
1746225222,21.74,1746225222,3.0793
1746225224,21.81,1746225224,3.0814
1746225226,21.74,1746225226,2.9736
1746225228,21.82,1746225228,2.9785
1746225230,21.82,1746225230,2.9827
1746225232,21.89,1746225232,2.9764
1746225234,21.71,1746225234,2.9484
1746225236,21.56,1746225236,2.975
1746225238,21.39,1746225238,2.961
1746225240,21.67,1746225240,2.9757
1746225242,21.64,1746225242,2.9631
1746225244,21.57,1746225244,2.9666
1746225246,21.74,1746225246,3.0016
1746225248,21.61,1746225248,2.9631
1746225250,21.54,1746225250,2.9897
1746225252,21.71,1746225252,2.9925
1746225254,21.72,1746225254,2.9547
1746225256,21.77,1746225256,2.9694
1746225258,21.62,1746225258,2.9568
1746225260,21.71,1746225260,2.9617
1746225262,21.41,1746225262,2.975
1746225264,21.77,1746225264,2.9848
1746225266,21.82,1746225266,2.9806
1746225268,21.59,1746225268,2.9631
1746225270,21.56,1746225270,2.9638
1746225272,21.66,1746225272,2.4388
1746225274,21.72,1746225274,2.4836
1746225276,21.72,1746225276,2.4549
1746225278,21.56,1746225278,2.436
1746225280,21.56,1746225280,2.4668
1746225282,21.66,1746225282,2.4556
1746225284,21.57,1746225284,2.4689
1746225286,21.61,1746225286,2.45
1746225288,21.39,1746225288,2.4416
1746225290,21.37,1746225290,2.4612
1746225292,21.49,1746225292,2.471
1746225294,21.32,1746225294,2.4472
1746225296,21.26,1746225296,2.4493
1746225298,21.39,1746225298,2.478
1746225300,21.47,1746225300,2.457
1746225302,21.44,1746225302,2.4493
1746225304,21.31,1746225304,2.4395
