,z,B,err
0,-83.22950555232289,0.41261499999999995,1.0002751479468037
1,-73.22950555232289,1.180559090909091,1.0004224432208626
2,-63.22950555232289,3.047061727272727,1.0017786726118698
3,-53.22950555232289,6.951070000000001,1.0193902561825867
4,-43.22950555232289,18.298774,1.0471227951391378
5,-33.22950555232289,30.68467285714286,1.362308342336639
6,-23.22950555232289,61.024173076923084,1.6939706715583949
7,-13.229505552322891,112.6307865217391,3.019271981720099
8,-3.229505552322891,176.1547436363636,4.1314493776397665
9,6.770494447677109,158.42136142857143,2.123888318061944
10,16.77049444767711,94.1155409090909,3.0674399781576858
11,26.77049444767711,43.110546,2.217581582738278
12,36.77049444767711,19.54348,1.036020297146731
13,46.77049444767711,12.121705,1.0394259346389236
14,56.77049444767711,6.402217272727274,1.0147486705583801
15,66.77049444767711,3.103338571428572,1.0003515933910436
16,76.77049444767711,1.0559800000000001,1.0015439321867015
