,z,B,err
0,-36.05879303853901,26.911913636363636,1.0597720388838348
1,-26.058793038539008,52.86943000000001,1.4877911681415517
2,-16.058793038539008,114.87106839999998,1.9100951044647005
3,-6.058793038539008,170.9084062162162,2.5127568605020256
4,3.941206961460992,182.33036241379307,4.019219502453185
5,13.941206961460992,123.91003521739131,2.310459362464527
6,23.941206961460992,68.76478360000002,1.8625292255693575
7,33.94120696146099,31.292297692307695,1.160853562513377
8,43.94120696146099,13.400175217391306,1.0168994760545407
9,53.94120696146099,10.089845384615385,1.0392869202005768
