,z,B,err
0,-63.40886027590259,2.7833500000000004,1.0002517451121993
1,-53.40886027590259,4.722778,1.0009838644553666
2,-43.40886027590259,6.68128,1.01226188627252
3,-33.40886027590259,19.970146,1.0060493156898422
4,-23.40886027590259,40.009015,1.0141483205626285
5,-13.40886027590259,79.37253625,1.592836726127319
6,-3.4088602759025903,111.0581957142857,3.5040711640176503
7,6.59113972409741,100.099663,1.4460077698269813
8,16.59113972409741,68.99101571428571,1.1745444080152934
9,26.59113972409741,31.99316285714286,1.0339173189863875
10,36.59113972409741,16.046001999999994,1.0500377509404126
11,46.59113972409741,6.5805549999999995,1.0340469939030819
12,56.59113972409741,2.4161500000000005,1.0008955134778055
13,66.59113972409742,1.1697100000000005,1.0049835827514795
