,z,B,err
0,-53.40358904208642,3.399996666666667,1.002545739604932
1,-43.40358904208642,9.0200125,1.0040660699874286
2,-33.40358904208642,19.96151,1.0001877745703553
3,-23.403589042086423,45.97678,1.005827984498344
4,-13.403589042086423,83.9114609090909,1.0254298135416198
5,-3.4035890420864234,114.36283000000002,2.782803170617711
6,6.596410957913577,106.70227600000001,1.8167278903567308
7,16.596410957913577,73.50940818181819,1.0314983090630818
8,26.596410957913577,32.76199999999999,1.2287375635179376
9,36.59641095791358,15.05429,1.0090232552325047
10,46.59641095791358,8.58715,1.0019976534902664
11,56.59641095791358,3.2527540000000004,1.0038400262990115
