in s,C3 in V
-9.8368000E-05,2.63672E-02
-9.8358800E-05,3.61328E-02
-9.8349600E-05,5.56641E-02
-9.8340400E-05,-2.92969E-03
-9.8331200E-05,4.58984E-02
-9.8322000E-05,3.61328E-02
-9.8312800E-05,6.54297E-02
-9.8303600E-05,-1.26953E-02
-9.8294400E-05,2.63672E-02
-9.8285200E-05,6.83594E-03
-9.8276000E-05,2.63672E-02
-9.8266800E-05,2.63672E-02
-9.8257600E-05,-2.92969E-03
-9.8248400E-05,6.83594E-03
-9.8239200E-05,3.61328E-02
-9.8230000E-05,1.66016E-02
-9.8220800E-05,3.61328E-02
-9.8211600E-05,1.66016E-02
-9.8202400E-05,3.61328E-02
-9.8193200E-05,-2.24609E-02
-9.8184000E-05,3.61328E-02
-9.8174800E-05,4.58984E-02
-9.8165600E-05,5.56641E-02
-9.8156400E-05,6.83594E-03
-9.8147200E-05,4.58984E-02
-9.8138000E-05,-1.26953E-02
-9.8128800E-05,4.58984E-02
-9.8119600E-05,-2.92969E-03
-9.8110400E-05,2.63672E-02
-9.8101200E-05,1.66016E-02
-9.8092000E-05,-1.26953E-02
-9.8082800E-05,1.66016E-02
-9.8073600E-05,6.83594E-03
-9.8064400E-05,1.04492E-01
-9.8055200E-05,-2.92969E-03
-9.8046000E-05,6.83594E-03
-9.8036800E-05,1.66016E-02
-9.8027600E-05,2.63672E-02
-9.8018400E-05,-2.92969E-03
-9.8009200E-05,-1.26953E-02
-9.8000000E-05,4.58984E-02
-9.7990800E-05,6.83594E-03
-9.7981600E-05,2.63672E-02
-9.7972400E-05,6.83594E-03
-9.7963200E-05,2.63672E-02
-9.7954000E-05,-1.26953E-02
-9.7944800E-05,1.66016E-02
-9.7935600E-05,1.66016E-02
-9.7926400E-05,3.61328E-02
-9.7917200E-05,-2.92969E-03
-9.7908000E-05,2.63672E-02
-9.7898800E-05,-2.92969E-03
-9.7889600E-05,1.66016E-02
-9.7880400E-05,4.58984E-02
-9.7871200E-05,6.83594E-03
-9.7862000E-05,6.83594E-03
-9.7852800E-05,1.66016E-02
-9.7843600E-05,2.63672E-02
-9.7834400E-05,-1.26953E-02
-9.7825200E-05,-2.92969E-03
-9.7816000E-05,4.58984E-02
-9.7806800E-05,5.56641E-02
-9.7797600E-05,1.66016E-02
-9.7788400E-05,4.58984E-02
-9.7779200E-05,4.58984E-02
-9.7770000E-05,-2.92969E-03
-9.7760800E-05,-2.92969E-03
-9.7751600E-05,5.56641E-02
-9.7742400E-05,1.66016E-02
-9.7733200E-05,-1.26953E-02
-9.7724000E-05,-2.92969E-03
-9.7714800E-05,-2.92969E-03
-9.7705600E-05,6.54297E-02
-9.7696400E-05,6.83594E-03
-9.7687200E-05,3.61328E-02
-9.7678000E-05,-1.26953E-02
-9.7668800E-05,1.66016E-02
-9.7659600E-05,3.61328E-02
-9.7650400E-05,4.58984E-02
-9.7641200E-05,-2.92969E-03
-9.7632000E-05,1.66016E-02
-9.7622800E-05,1.66016E-02
-9.7613600E-05,6.83594E-03
-9.7604400E-05,1.66016E-02
-9.7595200E-05,-1.26953E-02
-9.7586000E-05,2.63672E-02
-9.7576800E-05,2.63672E-02
-9.7567600E-05,1.66016E-02
-9.7558400E-05,1.66016E-02
-9.7549200E-05,1.66016E-02
-9.7540000E-05,6.54297E-02
-9.7530800E-05,6.83594E-03
-9.7521600E-05,-1.26953E-02
-9.7512400E-05,1.66016E-02
-9.7503200E-05,4.58984E-02
-9.7494000E-05,1.66016E-02
-9.7484800E-05,-2.92969E-03
-9.7475600E-05,2.63672E-02
-9.7466400E-05,4.58984E-02
-9.7457200E-05,1.66016E-02
-9.7448000E-05,7.51953E-02
-9.7438800E-05,6.83594E-03
-9.7429600E-05,-1.26953E-02
-9.7420400E-05,6.83594E-03
-9.7411200E-05,3.61328E-02
-9.7402000E-05,6.83594E-03
-9.7392800E-05,1.66016E-02
-9.7383600E-05,-2.92969E-03
-9.7374400E-05,4.58984E-02
-9.7365200E-05,3.61328E-02
-9.7356000E-05,6.83594E-03
-9.7346800E-05,1.66016E-02
-9.7337600E-05,3.61328E-02
-9.7328400E-05,3.61328E-02
-9.7319200E-05,3.61328E-02
-9.7310000E-05,1.66016E-02
-9.7300800E-05,-2.92969E-03
-9.7291600E-05,6.83594E-03
-9.7282400E-05,3.61328E-02
-9.7273200E-05,2.63672E-02
-9.7264000E-05,7.51953E-02
-9.7254800E-05,1.66016E-02
-9.7245600E-05,2.63672E-02
-9.7236400E-05,-2.92969E-03
-9.7227200E-05,1.66016E-02
-9.7218000E-05,2.63672E-02
-9.7208800E-05,4.58984E-02
-9.7199600E-05,-2.92969E-03
-9.7190400E-05,4.58984E-02
-9.7181200E-05,5.56641E-02
-9.7172000E-05,-2.24609E-02
-9.7162800E-05,-2.24609E-02
-9.7153600E-05,-3.22266E-02
-9.7144400E-05,2.63672E-02
-9.7135200E-05,6.83594E-03
-9.7126000E-05,5.56641E-02
-9.7116800E-05,4.58984E-02
-9.7107600E-05,1.66016E-02
-9.7098400E-05,3.61328E-02
